"x","celllabel","parent","parentlabel","Score"
"<http://purl.obolibrary.org/obo/CL_0001026>","CD34-positive, CD38-positive common myeloid progenitor","<http://purl.obolibrary.org/obo/CL_0000000>","cell","3"
"<http://purl.obolibrary.org/obo/CL_0001026>","CD34-positive, CD38-positive common myeloid progenitor","<http://purl.obolibrary.org/obo/CL_0000000>","""cell""@en","3"
"<http://purl.obolibrary.org/obo/CL_0001026>","CD34-positive, CD38-positive common myeloid progenitor","<http://purl.obolibrary.org/obo/GO_0005623>","cell","3"
"<http://purl.obolibrary.org/obo/CL_0001026>","CD34-positive, CD38-positive common myeloid progenitor","<http://purl.obolibrary.org/obo/GO_0005575>","cellular_component","3"
"<http://purl.obolibrary.org/obo/CL_0001026>","CD34-positive, CD38-positive common myeloid progenitor","<http://purl.obolibrary.org/obo/CL_0000003>","native cell","3"
"<http://purl.obolibrary.org/obo/CL_0001026>","CD34-positive, CD38-positive common myeloid progenitor","<http://purl.obolibrary.org/obo/CL_0011115>","precursor cell","3"
"<http://purl.obolibrary.org/obo/CL_0001026>","CD34-positive, CD38-positive common myeloid progenitor","<http://purl.obolibrary.org/obo/CL_0000988>","hematopoietic cell","3"
"<http://purl.obolibrary.org/obo/CL_0001026>","CD34-positive, CD38-positive common myeloid progenitor","<http://purl.obolibrary.org/obo/CL_0008001>","hematopoietic precursor cell","3"
"<http://purl.obolibrary.org/obo/CL_0001026>","CD34-positive, CD38-positive common myeloid progenitor","<http://purl.obolibrary.org/obo/CL_0000548>","animal cell","3"
"<http://purl.obolibrary.org/obo/CL_0001026>","CD34-positive, CD38-positive common myeloid progenitor","<http://purl.obolibrary.org/obo/CL_0002371>","somatic cell","3"
"<http://purl.obolibrary.org/obo/CL_0001026>","CD34-positive, CD38-positive common myeloid progenitor","<http://purl.obolibrary.org/obo/CL_0000049>","common myeloid progenitor","3"
"<http://purl.obolibrary.org/obo/CL_0001026>","CD34-positive, CD38-positive common myeloid progenitor","<http://purl.obolibrary.org/obo/CL_0002032>","hematopoietic oligopotent progenitor cell","3"
"<http://purl.obolibrary.org/obo/CL_0001026>","CD34-positive, CD38-positive common myeloid progenitor","<http://purl.obolibrary.org/obo/CL_0000255>","eukaryotic cell","3"
"<http://purl.obolibrary.org/obo/CL_0001026>","CD34-positive, CD38-positive common myeloid progenitor","<http://purl.obolibrary.org/obo/CL_0000995>","CD34-positive, CD38-positive common myeloid progenitor OR CD34-positive, CD38-positive common lymphoid progenitor","3"
"<http://purl.obolibrary.org/obo/CL_0001026>","CD34-positive, CD38-positive common myeloid progenitor","<http://purl.obolibrary.org/obo/CL_0001026>","CD34-positive, CD38-positive common myeloid progenitor","3"
"<http://purl.obolibrary.org/obo/CL_0001026>","CD34-positive, CD38-positive common myeloid progenitor","<http://purl.obolibrary.org/obo/CL_0001060>","hematopoietic oligopotent progenitor cell, lineage-negative","3"
"<http://purl.obolibrary.org/obo/CL_0001026>","CD34-positive, CD38-positive common myeloid progenitor","<http://purl.obolibrary.org/obo/CL_0001059>","common myeloid progenitor, CD34-positive","3"
"<http://purl.obolibrary.org/obo/CL_0001026>","CD34-positive, CD38-positive common myeloid progenitor","<http://purl.obolibrary.org/obo/CARO_0000003>","""anatomical structure""@en","3"
"<http://purl.obolibrary.org/obo/CL_0001026>","CD34-positive, CD38-positive common myeloid progenitor","<http://purl.obolibrary.org/obo/BFO_0000004>","""independent continuant""@en","3"
"<http://purl.obolibrary.org/obo/CL_0001026>","CD34-positive, CD38-positive common myeloid progenitor","<http://purl.obolibrary.org/obo/BFO_0000004>","ic","3"
"<http://purl.obolibrary.org/obo/CL_0001026>","CD34-positive, CD38-positive common myeloid progenitor","<http://purl.obolibrary.org/obo/BFO_0000004>","IndependentContinuant","3"
"<http://purl.obolibrary.org/obo/CL_0001026>","CD34-positive, CD38-positive common myeloid progenitor","<http://purl.obolibrary.org/obo/BFO_0000002>","""continuant""@en","3"
"<http://purl.obolibrary.org/obo/CL_0001026>","CD34-positive, CD38-positive common myeloid progenitor","<http://purl.obolibrary.org/obo/BFO_0000002>","continuant","3"
"<http://purl.obolibrary.org/obo/CL_0001026>","CD34-positive, CD38-positive common myeloid progenitor","<http://purl.obolibrary.org/obo/BFO_0000002>","Continuant","3"
"<http://purl.obolibrary.org/obo/CL_0001026>","CD34-positive, CD38-positive common myeloid progenitor","<http://purl.obolibrary.org/obo/BFO_0000040>","""material entity""@en","3"
"<http://purl.obolibrary.org/obo/CL_0001026>","CD34-positive, CD38-positive common myeloid progenitor","<http://purl.obolibrary.org/obo/BFO_0000040>","material","3"
"<http://purl.obolibrary.org/obo/CL_0001026>","CD34-positive, CD38-positive common myeloid progenitor","<http://purl.obolibrary.org/obo/BFO_0000040>","MaterialEntity","3"
"<http://purl.obolibrary.org/obo/CL_0001026>","CD34-positive, CD38-positive common myeloid progenitor","<http://purl.obolibrary.org/obo/CARO_0000006>","""material anatomical entity""@en","3"
"<http://purl.obolibrary.org/obo/CL_0001026>","CD34-positive, CD38-positive common myeloid progenitor","<http://purl.obolibrary.org/obo/BFO_0000001>","entity","3"
"<http://purl.obolibrary.org/obo/CL_0001026>","CD34-positive, CD38-positive common myeloid progenitor","<http://purl.obolibrary.org/obo/BFO_0000001>","Entity","3"
"<http://purl.obolibrary.org/obo/CL_0001026>","CD34-positive, CD38-positive common myeloid progenitor","<http://purl.obolibrary.org/obo/BFO_0000001>","""entity""@en","3"
"<http://purl.obolibrary.org/obo/CL_0002354>","yolk sac hematopoietic stem cell","<http://purl.obolibrary.org/obo/CL_0000000>","cell","3"
"<http://purl.obolibrary.org/obo/CL_0002354>","yolk sac hematopoietic stem cell","<http://purl.obolibrary.org/obo/CL_0000000>","""cell""@en","3"
"<http://purl.obolibrary.org/obo/CL_0002354>","yolk sac hematopoietic stem cell","<http://purl.obolibrary.org/obo/GO_0005623>","cell","3"
"<http://purl.obolibrary.org/obo/CL_0002354>","yolk sac hematopoietic stem cell","<http://purl.obolibrary.org/obo/GO_0005575>","cellular_component","3"
"<http://purl.obolibrary.org/obo/CL_0002354>","yolk sac hematopoietic stem cell","<http://purl.obolibrary.org/obo/CL_0000003>","native cell","3"
"<http://purl.obolibrary.org/obo/CL_0002354>","yolk sac hematopoietic stem cell","<http://purl.obolibrary.org/obo/CL_0000034>","stem cell","3"
"<http://purl.obolibrary.org/obo/CL_0002354>","yolk sac hematopoietic stem cell","<http://purl.obolibrary.org/obo/CL_0011115>","precursor cell","3"
"<http://purl.obolibrary.org/obo/CL_0002354>","yolk sac hematopoietic stem cell","<http://purl.obolibrary.org/obo/CL_0000723>","somatic stem cell","3"
"<http://purl.obolibrary.org/obo/CL_0002354>","yolk sac hematopoietic stem cell","<http://purl.obolibrary.org/obo/CL_0000037>","hematopoietic stem cell","3"
"<http://purl.obolibrary.org/obo/CL_0002354>","yolk sac hematopoietic stem cell","<http://purl.obolibrary.org/obo/CL_0000988>","hematopoietic cell","3"
"<http://purl.obolibrary.org/obo/CL_0002354>","yolk sac hematopoietic stem cell","<http://purl.obolibrary.org/obo/CL_0008001>","hematopoietic precursor cell","3"
