"x","celllabel","parent","parentlabel","Score"
"<http://purl.obolibrary.org/obo/CL_0002430>","CD4-intermediate, CD8-positive double-positive thymocyte","<http://purl.obolibrary.org/obo/CL_0000000>","cell","1"
"<http://purl.obolibrary.org/obo/CL_0002430>","CD4-intermediate, CD8-positive double-positive thymocyte","<http://purl.obolibrary.org/obo/CL_0000000>","""cell""@en","1"
"<http://purl.obolibrary.org/obo/CL_0002430>","CD4-intermediate, CD8-positive double-positive thymocyte","<http://purl.obolibrary.org/obo/GO_0005623>","cell","1"
"<http://purl.obolibrary.org/obo/CL_0002430>","CD4-intermediate, CD8-positive double-positive thymocyte","<http://purl.obolibrary.org/obo/GO_0005575>","cellular_component","1"
"<http://purl.obolibrary.org/obo/CL_0002430>","CD4-intermediate, CD8-positive double-positive thymocyte","<http://purl.obolibrary.org/obo/CL_0000003>","native cell","1"
"<http://purl.obolibrary.org/obo/CL_0002430>","CD4-intermediate, CD8-positive double-positive thymocyte","<http://purl.obolibrary.org/obo/CL_0000219>","motile cell","1"
"<http://purl.obolibrary.org/obo/CL_0002430>","CD4-intermediate, CD8-positive double-positive thymocyte","<http://purl.obolibrary.org/obo/CL_0000988>","hematopoietic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002430>","CD4-intermediate, CD8-positive double-positive thymocyte","<http://purl.obolibrary.org/obo/CL_0000548>","animal cell","1"
"<http://purl.obolibrary.org/obo/CL_0002430>","CD4-intermediate, CD8-positive double-positive thymocyte","<http://purl.obolibrary.org/obo/CL_0002371>","somatic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002430>","CD4-intermediate, CD8-positive double-positive thymocyte","<http://purl.obolibrary.org/obo/CL_0002242>","nucleate cell","1"
"<http://purl.obolibrary.org/obo/CL_0002430>","CD4-intermediate, CD8-positive double-positive thymocyte","<http://purl.obolibrary.org/obo/CL_0000738>","leukocyte","1"
"<http://purl.obolibrary.org/obo/CL_0002430>","CD4-intermediate, CD8-positive double-positive thymocyte","<http://purl.obolibrary.org/obo/CL_0000084>","T cell","1"
"<http://purl.obolibrary.org/obo/CL_0002430>","CD4-intermediate, CD8-positive double-positive thymocyte","<http://purl.obolibrary.org/obo/CL_0000542>","lymphocyte","1"
"<http://purl.obolibrary.org/obo/CL_0002430>","CD4-intermediate, CD8-positive double-positive thymocyte","<http://purl.obolibrary.org/obo/CL_0000255>","eukaryotic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002430>","CD4-intermediate, CD8-positive double-positive thymocyte","<http://purl.obolibrary.org/obo/CL_0002087>","nongranular leukocyte","1"
"<http://purl.obolibrary.org/obo/CL_0002430>","CD4-intermediate, CD8-positive double-positive thymocyte","<http://purl.obolibrary.org/obo/CL_0000789>","alpha-beta T cell","1"
