"x","celllabel","plabel","marker","markerlabel","penalties","Number Of Hits","Score"
"<http://purl.obolibrary.org/obo/CL_0001026>","CD34-positive, CD38-positive common myeloid progenitor","lacks_plasma_membrane_part
lacks_plasma_membrane_part
lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001004>
<http://purl.obolibrary.org/obo/PR_000001836>
<http://purl.obolibrary.org/obo/PR_000001020>","CD4 molecule
CD7 molecule
CD3 epsilon","0","3","3"
"<http://purl.obolibrary.org/obo/CL_0001027>","CD7-negative lymphoid progenitor cell","lacks_plasma_membrane_part
lacks_plasma_membrane_part
lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001004>
<http://purl.obolibrary.org/obo/PR_000001836>
<http://purl.obolibrary.org/obo/PR_000001020>","CD4 molecule
CD7 molecule
CD3 epsilon","0","3","3"
"<http://purl.obolibrary.org/obo/CL_0000037>","hematopoietic stem cell","lacks_plasma_membrane_part
lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001004>
<http://purl.obolibrary.org/obo/PR_000001020>","CD4 molecule
CD3 epsilon","0","2","2"
"<http://purl.obolibrary.org/obo/CL_0001008>","Kit and Sca1-positive hematopoietic stem cell","lacks_plasma_membrane_part
lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001004>
<http://purl.obolibrary.org/obo/PR_000001020>","CD4 molecule
CD3 epsilon","0","2","2"
"<http://purl.obolibrary.org/obo/CL_0001024>","CD34-positive, CD38-negative hematopoietic stem cell","lacks_plasma_membrane_part
lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001004>
<http://purl.obolibrary.org/obo/PR_000001020>","CD4 molecule
CD3 epsilon","0","2","2"
"<http://purl.obolibrary.org/obo/CL_0002033>","short term hematopoietic stem cell","lacks_plasma_membrane_part
lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001004>
<http://purl.obolibrary.org/obo/PR_000001020>","CD4 molecule
CD3 epsilon","0","2","2"
"<http://purl.obolibrary.org/obo/CL_0002034>","long term hematopoietic stem cell","lacks_plasma_membrane_part
lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001004>
<http://purl.obolibrary.org/obo/PR_000001020>","CD4 molecule
CD3 epsilon","0","2","2"
"<http://purl.obolibrary.org/obo/CL_0002246>","peripheral blood stem cell","lacks_plasma_membrane_part
lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001004>
<http://purl.obolibrary.org/obo/PR_000001020>","CD4 molecule
CD3 epsilon","0","2","2"
"<http://purl.obolibrary.org/obo/CL_0002352>","gestational hematopoietic stem cell","lacks_plasma_membrane_part
lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001004>
<http://purl.obolibrary.org/obo/PR_000001020>","CD4 molecule
CD3 epsilon","0","2","2"
"<http://purl.obolibrary.org/obo/CL_0002353>","fetal liver hematopoietic progenitor cell","lacks_plasma_membrane_part
lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001004>
<http://purl.obolibrary.org/obo/PR_000001020>","CD4 molecule
CD3 epsilon","0","2","2"
"<http://purl.obolibrary.org/obo/CL_0002354>","yolk sac hematopoietic stem cell","lacks_plasma_membrane_part
lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001004>
<http://purl.obolibrary.org/obo/PR_000001020>","CD4 molecule
CD3 epsilon","0","2","2"
"<http://purl.obolibrary.org/obo/CL_0002359>","placental hematopoietic stem cell","lacks_plasma_membrane_part
lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001004>
<http://purl.obolibrary.org/obo/PR_000001020>","CD4 molecule
CD3 epsilon","0","2","2"
"<http://purl.obolibrary.org/obo/CL_0002360>","AGM hematopoietic stem cell","lacks_plasma_membrane_part
lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001004>
<http://purl.obolibrary.org/obo/PR_000001020>","CD4 molecule
CD3 epsilon","0","2","2"
"<http://purl.obolibrary.org/obo/CL_2000095>","cord blood hematopoietic stem cell","lacks_plasma_membrane_part
lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001004>
<http://purl.obolibrary.org/obo/PR_000001020>","CD4 molecule
CD3 epsilon","0","2","2"
"<http://purl.obolibrary.org/obo/CL_0000547>","proerythroblast","lacks_plasma_membrane_part
lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001004>
<http://purl.obolibrary.org/obo/PR_000001020>","CD4 molecule
CD3 epsilon","0","2","2"
"<http://purl.obolibrary.org/obo/CL_0002004>","CD34-negative, GlyA-negative proerythroblast","lacks_plasma_membrane_part
lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001004>
<http://purl.obolibrary.org/obo/PR_000001020>","CD4 molecule
CD3 epsilon","0","2","2"
"<http://purl.obolibrary.org/obo/CL_0002012>","Kit-low proerythroblast","lacks_plasma_membrane_part
lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001004>
<http://purl.obolibrary.org/obo/PR_000001020>","CD4 molecule
CD3 epsilon","0","2","2"
"<http://purl.obolibrary.org/obo/CL_0000553>","megakaryocyte progenitor cell","lacks_plasma_membrane_part
lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001004>
<http://purl.obolibrary.org/obo/PR_000001020>","CD4 molecule
CD3 epsilon","0","2","2"
