"x","celllabel","plabel","marker","markerlabel","penalties","Number Of Hits","Score"
"<http://purl.obolibrary.org/obo/CL_0002437>","mature CD8 single-positive thymocyte","lacks_plasma_membrane_part
has_high_plasma_membrane_amount","<http://purl.obolibrary.org/obo/PR_000001004>
<http://purl.obolibrary.org/obo/GO_0042105>","CD4 molecule
alpha-beta T cell receptor complex","0","2","2"
"<http://purl.obolibrary.org/obo/CL_0002434>","CD24-positive, CD8 single-positive thymocyte","lacks_plasma_membrane_part
has_high_plasma_membrane_amount","<http://purl.obolibrary.org/obo/PR_000001004>
<http://purl.obolibrary.org/obo/GO_0042105>","CD4 molecule
alpha-beta T cell receptor complex","0","2","2"
"<http://purl.obolibrary.org/obo/CL_0002435>","CD69-positive, CD8-positive single-positive thymocyte","lacks_plasma_membrane_part
has_high_plasma_membrane_amount","<http://purl.obolibrary.org/obo/PR_000001004>
<http://purl.obolibrary.org/obo/GO_0042105>","CD4 molecule
alpha-beta T cell receptor complex","0","2","2"
"<http://purl.obolibrary.org/obo/CL_0001026>","CD34-positive, CD38-positive common myeloid progenitor","lacks_plasma_membrane_part
lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001004>
<http://purl.obolibrary.org/obo/PR_000001836>","CD4 molecule
CD7 molecule","0","2","2"
"<http://purl.obolibrary.org/obo/CL_0001027>","CD7-negative lymphoid progenitor cell","lacks_plasma_membrane_part
lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001004>
<http://purl.obolibrary.org/obo/PR_000001836>","CD4 molecule
CD7 molecule","0","2","2"
"<http://purl.obolibrary.org/obo/CL_0000037>","hematopoietic stem cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001004>","CD4 molecule","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0001008>","Kit and Sca1-positive hematopoietic stem cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001004>","CD4 molecule","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0001024>","CD34-positive, CD38-negative hematopoietic stem cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001004>","CD4 molecule","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002033>","short term hematopoietic stem cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001004>","CD4 molecule","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002034>","long term hematopoietic stem cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001004>","CD4 molecule","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002246>","peripheral blood stem cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001004>","CD4 molecule","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002352>","gestational hematopoietic stem cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001004>","CD4 molecule","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002353>","fetal liver hematopoietic progenitor cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001004>","CD4 molecule","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002354>","yolk sac hematopoietic stem cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001004>","CD4 molecule","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002359>","placental hematopoietic stem cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001004>","CD4 molecule","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002360>","AGM hematopoietic stem cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001004>","CD4 molecule","0","1","1"
"<http://purl.obolibrary.org/obo/CL_2000095>","cord blood hematopoietic stem cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001004>","CD4 molecule","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0000547>","proerythroblast","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001004>","CD4 molecule","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002004>","CD34-negative, GlyA-negative proerythroblast","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001004>","CD4 molecule","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002012>","Kit-low proerythroblast","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001004>","CD4 molecule","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0000553>","megakaryocyte progenitor cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001004>","CD4 molecule","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002023>","CD34-positive, CD41-positive, CD42-positive megakaryocyte progenitor cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001004>","CD4 molecule","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002025>","CD34-positive, CD41-positive, CD42-negative megakaryocyte progenitor cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001004>","CD4 molecule","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002024>","Kit-positive megakaryocyte progenitor cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001004>","CD4 molecule","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0000558>","reticulocyte","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001004>","CD4 molecule","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002421>","nucleated reticulocyte","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001004>","CD4 molecule","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002422>","enucleated reticulocyte","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001004>","CD4 molecule","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002019>","Ly-76 high reticulocyte","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001004>","CD4 molecule","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002020>","GlyA-positive reticulocytes","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001004>","CD4 molecule","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0000611>","eosinophil progenitor cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001004>","CD4 molecule","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002007>","Kit-low, CD34-positive eosinophil progenitor cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001004>","CD4 molecule","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002008>","CD34-positive, CD38-positive eosinophil progenitor cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001004>","CD4 molecule","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0000613>","basophil progenitor cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001004>","CD4 molecule","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002030>","Fc-epsilon RIalpha-high basophil progenitor cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001004>","CD4 molecule","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0000625>","CD8-positive, alpha-beta T cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001004>","CD4 molecule","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0000794>","CD8-positive, alpha-beta cytotoxic T cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001004>","CD4 molecule","0","1","1"
