"x","celllabel","plabel","marker","markerlabel"
"<http://purl.obolibrary.org/obo/CL_0000560>","band form neutrophil","has plasma membrane part","<http://purl.obolibrary.org/obo/PR_000001012>","integrin alpha-M"
"<http://purl.obolibrary.org/obo/CL_0000560>","band form neutrophil","has plasma membrane part","<http://purl.obolibrary.org/obo/PR_000001332>","carcinoembryonic antigen-related cell adhesion molecule 8"
"<http://purl.obolibrary.org/obo/CL_0000560>","band form neutrophil","has plasma membrane part","<http://purl.obolibrary.org/obo/PR_000001969>","urokinase plasminogen activator surface receptor"
"<http://purl.obolibrary.org/obo/CL_0000560>","band form neutrophil","has plasma membrane part","<http://purl.obolibrary.org/obo/PR_000001256>","C-X-C chemokine receptor type 1"
"<http://purl.obolibrary.org/obo/CL_0000560>","band form neutrophil","has plasma membrane part","<http://purl.obolibrary.org/obo/PR_000001257>","C-X-C chemokine receptor type 2"
"<http://purl.obolibrary.org/obo/CL_0000560>","band form neutrophil","has plasma membrane part","<http://purl.obolibrary.org/obo/PR_000001456>","alpha-(1,3)-fucosyltransferase FUT4"
"<http://purl.obolibrary.org/obo/CL_0000560>","band form neutrophil","has plasma membrane part","<http://purl.obolibrary.org/obo/PR_000001483>","low affinity immunoglobulin gamma Fc region receptor III"
"<http://purl.obolibrary.org/obo/CL_0000560>","band form neutrophil","has plasma membrane part","<http://purl.obolibrary.org/obo/PR_000001879>","leukosialin"
"<http://purl.obolibrary.org/obo/CL_0000560>","band form neutrophil","has plasma membrane part","<http://purl.obolibrary.org/obo/PR_000001944>","transcription factor PU.1"
"<http://purl.obolibrary.org/obo/CL_0000560>","band form neutrophil","has plasma membrane part","<http://purl.obolibrary.org/obo/PR_000007597>","proto-oncogene c-Fos"
"<http://purl.obolibrary.org/obo/CL_0000560>","band form neutrophil","has plasma membrane part","<http://purl.obolibrary.org/obo/PR_000001337>","complement receptor type 1"
"<http://purl.obolibrary.org/obo/CL_0000560>","band form neutrophil","has plasma membrane part","<http://purl.obolibrary.org/obo/PR_000001580>","fMet-Leu-Phe receptor"
"<http://purl.obolibrary.org/obo/CL_0000560>","band form neutrophil","has plasma membrane part","<http://purl.obolibrary.org/obo/PR_000001479>","low affinity immunoglobulin gamma Fc region receptor II"
