"x","celllabel","plabel","marker","markerlabel"
"<http://purl.obolibrary.org/obo/CL_0002089>","group 2 innate lymphoid cell, mouse","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001002>","CD19 molecule"
"<http://purl.obolibrary.org/obo/CL_0002089>","group 2 innate lymphoid cell, mouse","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon"
"<http://purl.obolibrary.org/obo/CL_0002089>","group 2 innate lymphoid cell, mouse","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001004>","CD4 molecule"
"<http://purl.obolibrary.org/obo/CL_0002089>","group 2 innate lymphoid cell, mouse","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001008>","integrin alpha-2"
"<http://purl.obolibrary.org/obo/CL_0002089>","group 2 innate lymphoid cell, mouse","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001012>","integrin alpha-M"
"<http://purl.obolibrary.org/obo/CL_0002089>","group 2 innate lymphoid cell, mouse","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001024>","neural cell adhesion molecule 1"
"<http://purl.obolibrary.org/obo/CL_0002089>","group 2 innate lymphoid cell, mouse","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001084>","T-cell surface glycoprotein CD8 alpha chain"
"<http://purl.obolibrary.org/obo/CL_0002089>","group 2 innate lymphoid cell, mouse","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001326>","bone marrow stromal antigen 2"
"<http://purl.obolibrary.org/obo/CL_0002089>","group 2 innate lymphoid cell, mouse","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001893>","natural cytotoxicity triggering receptor 1"
"<http://purl.obolibrary.org/obo/CL_0002089>","group 2 innate lymphoid cell, mouse","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001927>","sialic acid-binding Ig-like lectin 5"
"<http://purl.obolibrary.org/obo/CL_0002089>","group 2 innate lymphoid cell, mouse","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000007431>","high affinity immunoglobulin epsilon receptor subunit alpha"
