"x","celllabel","plabel","marker","markerlabel"
"<http://purl.obolibrary.org/obo/CL_0000612>","eosinophilic myelocyte","has plasma membrane part","<http://purl.obolibrary.org/obo/PR_000001012>","integrin alpha-M"
"<http://purl.obolibrary.org/obo/CL_0000612>","eosinophilic myelocyte","has plasma membrane part","<http://purl.obolibrary.org/obo/PR_000001332>","carcinoembryonic antigen-related cell adhesion molecule 8"
"<http://purl.obolibrary.org/obo/CL_0000612>","eosinophilic myelocyte","has plasma membrane part","<http://purl.obolibrary.org/obo/PR_000001969>","urokinase plasminogen activator surface receptor"
"<http://purl.obolibrary.org/obo/CL_0000612>","eosinophilic myelocyte","has plasma membrane part","<http://purl.obolibrary.org/obo/PR_000001456>","alpha-(1,3)-fucosyltransferase FUT4"
"<http://purl.obolibrary.org/obo/CL_0000612>","eosinophilic myelocyte","has plasma membrane part","<http://purl.obolibrary.org/obo/PR_000001892>","CD33 molecule"
"<http://purl.obolibrary.org/obo/CL_0000612>","eosinophilic myelocyte","has plasma membrane part","<http://purl.obolibrary.org/obo/PR_000001932>","signal transducer CD24"
"<http://purl.obolibrary.org/obo/CL_0000612>","eosinophilic myelocyte","has plasma membrane part","<http://purl.obolibrary.org/obo/PR_000002031>","aminopeptidase N"
"<http://purl.obolibrary.org/obo/CL_0000612>","eosinophilic myelocyte","has plasma membrane part","<http://purl.obolibrary.org/obo/PR_000001254>","C-C chemokine receptor type 1"
"<http://purl.obolibrary.org/obo/CL_0000612>","eosinophilic myelocyte","has plasma membrane part","<http://purl.obolibrary.org/obo/PR_000001255>","C-C chemokine receptor type 3"
"<http://purl.obolibrary.org/obo/CL_0000612>","eosinophilic myelocyte","has plasma membrane part","<http://purl.obolibrary.org/obo/PR_000001307>","CD44 molecule"
"<http://purl.obolibrary.org/obo/CL_0000612>","eosinophilic myelocyte","has plasma membrane part","<http://purl.obolibrary.org/obo/PR_000001343>","CD69 molecule"
"<http://purl.obolibrary.org/obo/CL_0000612>","eosinophilic myelocyte","has plasma membrane part","<http://purl.obolibrary.org/obo/PR_000005178>","CD9 molecule"
