"Transcript ID","Name","bp","Protein","Translation ID","Biotype","CCDS","UniProt Match","RefSeq Match","Flags"
"ENST00000318443.10","CD276-202","3295","534aa","ENSP00000320084.5"," Protein coding","CCDS32288","Q5ZPR3-1","NM_001024736.2","MANE Select, Ensembl Canonical, GENCODE basic, APPRIS  P2, TSL:2, "
"ENST00000318424.9","CD276-201","2738","316aa","ENSP00000320058.5"," Protein coding","CCDS10251","Q5ZPR3-2","-","GENCODE basic, TSL:5, "
"ENST00000561213.5","CD276-213","2690","533aa","ENSP00000452736.1"," Protein coding","","Q5ZPR3-4","-","GENCODE basic, APPRIS  ALT2, TSL:2, "
"ENST00000537340.6","CD276-203","2439","388aa","ENSP00000441087.2"," Protein coding","CCDS86475","A0A0C4DGH0","-","GENCODE basic, TSL:2, "
"ENST00000564751.5","CD276-217","951","316aa","ENSP00000454940.1"," Protein coding","CCDS10251","Q5ZPR3-2","-","GENCODE basic, TSL:1, "
"ENST00000558689.5","CD276-205","649","136aa","ENSP00000453907.1"," Protein coding","","H0YN85","-","TSL:5, CDS 3' incomplete, "
"ENST00000561176.5","CD276-212","640","199aa","ENSP00000453014.1"," Protein coding","","H0YL10","-","TSL:3, CDS 5' incomplete, "
"ENST00000561260.5","CD276-214","628","165aa","ENSP00000452669.1"," Protein coding","","H0YK59","-","TSL:3, CDS 3' incomplete, "
"ENST00000560995.5","CD276-211","621","132aa","ENSP00000453336.1"," Protein coding","","H0YLT8","-","TSL:4, CDS 3' incomplete, "
"ENST00000567189.5","CD276-218","550","132aa","ENSP00000455366.1"," Protein coding","","H0YLT8","-","TSL:4, CDS 3' incomplete, "
"ENST00000560786.6","CD276-209","547","156aa","ENSP00000452649.2"," Protein coding","","H0YK40","-","TSL:4, CDS 3' incomplete, "
"ENST00000561416.5","CD276-215","507","51aa","ENSP00000452905.1"," Protein coding","","H0YKQ9","-","TSL:4, CDS 3' incomplete, "
"ENST00000563584.5","CD276-216","505","146aa","ENSP00000454258.1"," Protein coding","","H3BM68","-","TSL:5, CDS 3' incomplete, "
"ENST00000560928.5","CD276-210","2181","38aa","ENSP00000453330.1"," Nonsense mediated decay","","H0YLT3","-","TSL:2, "
"ENST00000559073.1","CD276-206","1844","170aa","ENSP00000453842.1"," Nonsense mediated decay","","H0YN29","-","TSL:1, CDS 5' incomplete, "
"ENST00000567582.5","CD276-219","556","38aa","ENSP00000456657.1"," Nonsense mediated decay","","H0YLT3","-","TSL:4, "
"ENST00000559465.1","CD276-207","1620","No protein","-"," Retained intron","","-","-","TSL:1, "
"ENST00000557951.1","CD276-204","695","No protein","-"," Retained intron","","-","-","TSL:2, "
"ENST00000559978.1","CD276-208","503","No protein","-"," Retained intron","","-","-","TSL:2, "
