"Transcript ID","Name","bp","Protein","Translation ID","Biotype","CCDS","UniProt Match","RefSeq Match","Flags"
"ENST00000275493.7","EGFR-201","9905","1210aa","ENSP00000275493.2"," Protein coding","CCDS5514","P00533-1","NM_005228.5","MANE Select, Ensembl Canonical, GENCODE basic, APPRIS  P1, TSL:1, "
"ENST00000450046.2","EGFR-205","9700","1157aa","ENSP00000413354.2"," Protein coding","","C9JYS6","-","GENCODE basic, TSL:4, "
"ENST00000455089.5","EGFR-206","3844","1091aa","ENSP00000415559.1"," Protein coding","CCDS87507","Q504U8","-","GENCODE basic, TSL:1, "
"ENST00000344576.7","EGFR-203","2872","705aa","ENSP00000345973.2"," Protein coding","CCDS5515","P00533-3","-","GENCODE basic, TSL:1, "
"ENST00000342916.7","EGFR-202","2239","628aa","ENSP00000342376.3"," Protein coding","CCDS5516","P00533-4","-","GENCODE basic, TSL:1, "
"ENST00000420316.6","EGFR-204","1570","405aa","ENSP00000413843.2"," Protein coding","CCDS47587","P00533-2","-","GENCODE basic, TSL:1, "
"ENST00000700145.1","EGFR-211","1418","344aa","ENSP00000514824.1"," Protein coding","","-","-","CDS 5' incomplete, "
"ENST00000459688.2","EGFR-207","2407","No protein","-"," Processed transcript","","-","-","TSL:3, "
"ENST00000463948.1","EGFR-208","561","No protein","-"," Processed transcript","","-","-","TSL:3, "
"ENST00000700146.1","EGFR-212","3827","No protein","-"," Retained intron","","-","-","-"
"ENST00000700144.1","EGFR-210","2165","No protein","-"," Retained intron","","-","-","-"
"ENST00000700147.1","EGFR-213","1701","No protein","-"," Retained intron","","-","-","-"
"ENST00000485503.1","EGFR-209","665","No protein","-"," Retained intron","","-","-","TSL:4, "
