Entry ID,Localization,Type,Nucleus,Cytoplasm,Extracellular,Mitochondrion,Cell membrane,Endoplasmic reticulum,Plastid,Golgi apparatus,Lysosome/Vacuole,Peroxisome
tr_A0A0A0N0N1_A0A0A0N0N1_HUMAN,Extracellular,Soluble,0.0,0.0,0.9745,0.0,0.0017,0.0196,0.0,0.0,0.0042,0.0
sp_P30408_T4S1_HUMAN,Cell membrane,Membrane,0.0,0.0,0.0,0.0,0.8679,0.0,0.0,0.0001,0.132,0.0
sp_P26718_NKG2D_HUMAN,Cell membrane,Membrane,0.0,0.0,0.0,0.0,0.9989,0.0004,0.0,0.0005,0.0002,0.0
sp_P40259_CD79B_HUMAN,Cell membrane,Membrane,0.0003,0.0019,0.0671,0.0001,0.7213,0.1544,0.0011,0.0074,0.0463,0.0
sp_Q9BZM4_ULBP3_HUMAN,Cell membrane,Membrane,0.0,0.0001,0.1032,0.0001,0.7789,0.0746,0.0,0.002,0.0411,0.0
sp_Q9BZM6_ULBP1_HUMAN,Cell membrane,Membrane,0.0,0.0,0.0001,0.0001,0.9744,0.0225,0.0,0.0025,0.0002,0.0
sp_Q9BZM5_ULBP2_HUMAN,Extracellular,Soluble,0.0,0.0003,0.6882,0.0003,0.0621,0.1178,0.0001,0.0011,0.13,0.0
sp_P56856-2_CLD18_HUMAN,Cell membrane,Membrane,0.0001,0.0,0.008,0.0007,0.9585,0.0018,0.0002,0.0009,0.0296,0.0001
sp_Q8TD07_RAE1E_HUMAN,Extracellular,Soluble,0.0,0.0004,0.8175,0.0003,0.0088,0.0873,0.0,0.0025,0.0831,0.0
sp_Q5QGZ9_CL12A_HUMAN,Cell membrane,Membrane,0.0,0.0,0.0,0.0,0.9959,0.0003,0.0,0.0016,0.0022,0.0
sp_Q5QGZ9_CL12A_HUMAN,Cell membrane,Membrane,0.0,0.0,0.0,0.0,0.9959,0.0003,0.0,0.0016,0.0022,0.0
sp_P33681_CD80_HUMAN,Cell membrane,Membrane,0.0,0.0,0.0,0.0002,0.9943,0.0006,0.0,0.0002,0.0046,0.0
sp_Q9NQ25_SLAF7_HUMAN,Cell membrane,Membrane,0.0,0.0,0.0001,0.0,0.9997,0.0002,0.0,0.0,0.0,0.0
sp_Q9NZD1_GPC5D_HUMAN,Cell membrane,Membrane,0.0,0.0,0.0,0.0005,0.8701,0.0016,0.0,0.0087,0.119,0.0
sp_Q9HC73_CRLF2_HUMAN,Cell membrane,Membrane,0.0003,0.0,0.0,0.0001,0.9328,0.0537,0.0,0.0025,0.0103,0.0002
sp_P35613_BASI_HUMAN,Extracellular,Soluble,0.0006,0.0044,0.4273,0.0059,0.415,0.0452,0.0193,0.0114,0.0696,0.0011
sp_O14763_TR10B_HUMAN,Cell membrane,Membrane,0.0021,0.0,0.0,0.0001,0.8397,0.0089,0.0,0.1457,0.0035,0.0
sp_P01730_CD4_HUMAN,Cell membrane,Membrane,0.0,0.0,0.0,0.0,0.9999,0.0,0.0,0.0,0.0,0.0
sp_P06127_CD5_HUMAN,Extracellular,Soluble,0.0,0.0005,0.701,0.0,0.2756,0.0044,0.0,0.0012,0.0172,0.0
sp_P05362_ICAM1_HUMAN,Cell membrane,Membrane,0.0,0.0,0.0435,0.0002,0.9513,0.003,0.0,0.0003,0.0017,0.0001
sp_Q5ZPR3_CD276_HUMAN,Cell membrane,Membrane,0.0,0.0,0.0,0.0005,0.9937,0.0025,0.0001,0.002,0.0011,0.0001
sp_P05187_PPB1_HUMAN,Cell membrane,Membrane,0.0,0.0,0.0132,0.0001,0.9716,0.0087,0.0,0.0002,0.0063,0.0
sp_Q12884_SEPR_HUMAN,Lysosome/Vacuole,Soluble,0.0,0.0004,0.3314,0.0006,0.1107,0.0475,0.0003,0.0145,0.4944,0.0001
tr_A0A0A0N0M1_A0A0A0N0M1_HUMAN,Cell membrane,Membrane,0.0005,0.0001,0.0001,0.0007,0.6422,0.0805,0.0,0.017,0.2587,0.0002
sp_P30530_UFO_HUMAN,Cell membrane,Membrane,0.0,0.0,0.0001,0.0002,0.9995,0.0001,0.0,0.0,0.0001,0.0
sp_P36888_FLT3_HUMAN,Cell membrane,Membrane,0.0,0.0,0.0,0.0001,0.999,0.0004,0.0,0.0001,0.0004,0.0
sp_P00533_EGFR_HUMAN,Cell membrane,Membrane,0.0001,0.0,0.0,0.0,0.9619,0.0006,0.0,0.0346,0.0027,0.0
sp_P08581_MET_HUMAN,Cell membrane,Membrane,0.0,0.0,0.0,0.0001,0.9986,0.0011,0.0,0.0001,0.0001,0.0
