"Transcript ID","Name","bp","Protein","Translation ID","Biotype","CCDS","UniProt Match","RefSeq Match","Flags"
"ENST00000620103.4","MUC1-225","1811","475aa","ENSP00000481231.1"," Protein coding","CCDS55640","A0A0C4DGW3","-","Ensembl Canonical, GENCODE basic, APPRIS  ALT2, TSL:5, "
"ENST00000457295.6","MUC1-212","1161","268aa","ENSP00000388172.3"," Protein coding","","A0A0A0MSH4","-","GENCODE basic, APPRIS  ALT2, TSL:2, "
"ENST00000462317.5","MUC1-214","1112","228aa","ENSP00000479471.1"," Protein coding","","A0A087WVJ0","-","TSL:3, CDS 5' incomplete, "
"ENST00000338684.9","MUC1-202","1107","241aa","ENSP00000343482.6"," Protein coding","CCDS72934","A0A0A0MRB3","-","GENCODE basic, TSL:1, "
"ENST00000610359.4","MUC1-221","1101","239aa","ENSP00000483482.1"," Protein coding","CCDS72935","A0A087X0L2","-","GENCODE basic, TSL:1, "
"ENST00000368392.7","MUC1-207","1032","264aa","ENSP00000357377.3"," Protein coding","CCDS30882","P15941-11","-","GENCODE basic, TSL:1, "
"ENST00000615517.4","MUC1-224","951","189aa","ENSP00000483473.1"," Protein coding","CCDS72936","A6ZIE4","-","GENCODE basic, TSL:1, "
"ENST00000368393.7","MUC1-208","937","198aa","ENSP00000357378.3"," Protein coding","CCDS55642","P15941-13","-","GENCODE basic, APPRIS  ALT2, TSL:1, "
"ENST00000438413.5","MUC1-211","927","229aa","ENSP00000389098.1"," Protein coding","","B1AVQ7","-","GENCODE basic, TSL:1, "
"ENST00000337604.6","MUC1-201","859","273aa","ENSP00000338983.5"," Protein coding","CCDS1098","P15941-8","-","GENCODE basic, APPRIS  P4, TSL:1, "
"ENST00000368390.7","MUC1-206","804","255aa","ENSP00000357375.3"," Protein coding","CCDS30883","P15941-7","-","GENCODE basic, TSL:1, "
"ENST00000368398.7","MUC1-210","729","230aa","ENSP00000357383.3"," Protein coding","CCDS55641","P15941-6","-","GENCODE basic, TSL:1, "
"ENST00000485118.5","MUC1-219","666","85aa","ENSP00000478068.1"," Protein coding","","A0A087WTR1","-","TSL:3, CDS 5' incomplete, "
"ENST00000343256.9","MUC1-204","648","203aa","ENSP00000339690.5"," Protein coding","CCDS41409","P15941-10","-","GENCODE basic, TSL:1, "
"ENST00000471283.5","MUC1-218","635","149aa","ENSP00000484730.1"," Protein coding","","Q7Z536","-","GENCODE basic, TSL:1, "
"ENST00000368389.6","MUC1-205","543","168aa","ENSP00000357374.2"," Protein coding","","P15941-9","-","GENCODE basic, TSL:1, "
"ENST00000342482.8","MUC1-203","537","166aa","ENSP00000342814.4"," Protein coding","","P15941-16","-","GENCODE basic, TSL:1, "
"ENST00000368396.8","MUC1-209","516","159aa","ENSP00000357381.4"," Protein coding","CCDS41408","P15941-12","-","GENCODE basic, TSL:1, "
"ENST00000462215.5","MUC1-213","1189","135aa","ENSP00000480335.1"," Nonsense mediated decay","","A0A087WWM2","-","TSL:2, "
"ENST00000610468.4","MUC1-222","1162","126aa","ENSP00000482688.1"," Nonsense mediated decay","","A0A087WZI8","-","TSL:1, "
"ENST00000614519.4","MUC1-223","1093","123aa","ENSP00000482988.1"," Nonsense mediated decay","","A0A087WZZ6","-","TSL:2, "
"ENST00000498431.5","MUC1-220","667","96aa","ENSP00000483128.1"," Nonsense mediated decay","","A0A087X061","-","TSL:1, "
"ENST00000467134.5","MUC1-216","619","80aa","ENSP00000484006.1"," Nonsense mediated decay","","B6ECB5","-","TSL:1, "
"ENST00000466913.1","MUC1-215","177","No protein","-"," Processed transcript","","-","-","TSL:1, "
"ENST00000468978.2","MUC1-217","899","No protein","-"," Retained intron","","-","-","TSL:2, "
"ENST00000620770.1","MUC1-226","572","No protein","-"," Retained intron","","-","-","TSL:1, "
