"Transcript ID","Name","bp","Protein","Translation ID","Biotype","CCDS","UniProt Match","RefSeq Match","Flags"
"ENST00000256999.7","FOLH1-201","4110","750aa","ENSP00000256999.2"," Protein coding","CCDS7946","Q04609-1","NM_004476.3","MANE Select, Ensembl Canonical, GENCODE basic, APPRIS  P1, TSL:1, "
"ENST00000340334.11","FOLH1-202","2697","735aa","ENSP00000344131.7"," Protein coding","CCDS53628","Q04609-7","-","GENCODE basic, TSL:1, "
"ENST00000356696.7","FOLH1-203","2403","719aa","ENSP00000349129.3"," Protein coding","CCDS31493","Q04609-8","-","GENCODE basic, TSL:1, "
"ENST00000533034.1","FOLH1-212","2225","704aa","ENSP00000431463.1"," Protein coding","CCDS53627","Q04609-9","-","GENCODE basic, TSL:1, "
"ENST00000529117.1","FOLH1-208","540","64aa","ENSP00000431577.1"," Protein coding","","E9PKM3","-","TSL:5, CDS 3' incomplete, "
"ENST00000525826.5","FOLH1-206","2192","74aa","ENSP00000434928.1"," Nonsense mediated decay","","E9PMK6","-","TSL:2, "
"ENST00000533510.5","FOLH1-213","751","46aa","ENSP00000436569.1"," Nonsense mediated decay","","E9PI29","-","TSL:5, "
"ENST00000529648.1","FOLH1-210","660","48aa","ENSP00000431263.1"," Nonsense mediated decay","","E9PLV0","-","TSL:4, "
"ENST00000525629.1","FOLH1-205","611","No protein","-"," Processed transcript","","-","-","TSL:3, "
"ENST00000458311.6","FOLH1-204","1976","No protein","-"," Retained intron","","-","-","TSL:1, "
"ENST00000529646.5","FOLH1-209","567","No protein","-"," Retained intron","","-","-","TSL:1, "
"ENST00000532018.1","FOLH1-211","498","No protein","-"," Retained intron","","-","-","TSL:2, "
"ENST00000526226.1","FOLH1-207","387","No protein","-"," Retained intron","","-","-","TSL:2, "
