"Transcript ID","Name","bp","Protein","Translation ID","Biotype","CCDS","UniProt Match","RefSeq Match","Flags"
"ENST00000345732.9","MS4A1-201","3556","297aa","ENSP00000314620.7"," Protein coding","CCDS31570","P11836-1","NM_152866.3","MANE Select, Ensembl Canonical, GENCODE basic, APPRIS  P1, TSL:1, "
"ENST00000534668.6","MS4A1-211","3467","297aa","ENSP00000433277.1"," Protein coding","CCDS31570","P11836-1","-","GENCODE basic, APPRIS  P1, TSL:2, "
"ENST00000389939.2","MS4A1-202","3372","297aa","ENSP00000374589.2"," Protein coding","CCDS31570","P11836-1","-","GENCODE basic, APPRIS  P1, TSL:1, "
"ENST00000532073.5","MS4A1-206","2560","284aa","ENSP00000433519.1"," Protein coding","","E9PKH8","-","GENCODE basic, TSL:1, "
"ENST00000674194.1","MS4A1-212","2499","297aa","ENSP00000501369.1"," Protein coding","CCDS31570","P11836-1","-","GENCODE basic, APPRIS  P1, "
"ENST00000528313.1","MS4A1-204","928","130aa","ENSP00000432270.1"," Protein coding","","P11836-2","-","GENCODE basic, TSL:2, "
"ENST00000533306.6","MS4A1-209","607","104aa","ENSP00000437002.2"," Protein coding","","E9PPL6","-","TSL:5, CDS 3' incomplete, "
"ENST00000532491.5","MS4A1-208","558","6aa","ENSP00000432219.1"," Protein coding","","-","-","TSL:4, CDS 3' incomplete, "
"ENST00000534503.5","MS4A1-210","933","No protein","-"," Processed transcript","","-","-","TSL:1, "
"ENST00000527101.5","MS4A1-203","582","No protein","-"," Processed transcript","","-","-","TSL:4, "
"ENST00000532418.1","MS4A1-207","582","No protein","-"," Retained intron","","-","-","TSL:2, "
"ENST00000530482.1","MS4A1-205","484","No protein","-"," Retained intron","","-","-","TSL:2, "
