"Transcript ID","Name","bp","Protein","Translation ID","Biotype","CCDS","UniProt Match","RefSeq Match","Flags"
"ENST00000269571.10","ERBB2-201","4557","1255aa","ENSP00000269571.4"," Protein coding","CCDS32642","P04626-1","NM_004448.4","MANE Select, Ensembl Canonical, GENCODE basic, APPRIS  P1, TSL:1, "
"ENST00000584601.5","ERBB2-219","4792","1225aa","ENSP00000462438.1"," Protein coding","CCDS45667","P04626-5","-","GENCODE basic, TSL:2, "
"ENST00000406381.6","ERBB2-202","4564","1225aa","ENSP00000385185.2"," Protein coding","CCDS45667","P04626-5","-","GENCODE basic, TSL:5, "
"ENST00000541774.5","ERBB2-204","4341","1240aa","ENSP00000446466.1"," Protein coding","CCDS74052","P04626-4","-","GENCODE basic, TSL:5, "
"ENST00000584450.5","ERBB2-218","3730","1055aa","ENSP00000463714.1"," Protein coding","CCDS77016","J3QLU9","-","GENCODE basic, TSL:1, "
"ENST00000445658.6","ERBB2-203","3238","979aa","ENSP00000404047.2"," Protein coding","","B4DTR1","-","GENCODE basic, TSL:2, "
"ENST00000578199.5","ERBB2-205","2526","603aa","ENSP00000462808.1"," Protein coding","CCDS77017","F5H1T4","-","GENCODE basic, TSL:1, "
"ENST00000580074.1","ERBB2-210","754","251aa","ENSP00000463002.1"," Protein coding","","J3KTI5","-","TSL:3, CDS 5' and 3' incomplete, "
"ENST00000578709.5","ERBB2-209","559","102aa","ENSP00000463719.1"," Protein coding","","J3QLV2","-","TSL:4, CDS 3' incomplete, "
"ENST00000582818.5","ERBB2-213","529","177aa","ENSP00000464252.1"," Protein coding","","J3QRJ7","-","TSL:3, CDS 5' and 3' incomplete, "
"ENST00000578502.1","ERBB2-207","497","166aa","ENSP00000464420.1"," Protein coding","","J3QRX1","-","TSL:5, CDS 5' and 3' incomplete, "
"ENST00000578373.5","ERBB2-206","4523","90aa","ENSP00000463427.1"," Nonsense mediated decay","","J3QL83","-","TSL:1, "
"ENST00000582648.5","ERBB2-211","1013","96aa","ENSP00000462024.1"," Nonsense mediated decay","","J3KRI9","-","TSL:5, "
"ENST00000584099.1","ERBB2-217","583","No protein","-"," Processed transcript","","-","-","TSL:4, "
"ENST00000584888.1","ERBB2-221","500","No protein","-"," Processed transcript","","-","-","TSL:3, "
"ENST00000583038.5","ERBB2-214","4930","No protein","-"," Retained intron","","-","-","TSL:2, "
"ENST00000582788.5","ERBB2-212","2004","No protein","-"," Retained intron","","-","-","TSL:5, "
"ENST00000584908.5","ERBB2-222","1316","No protein","-"," Retained intron","","-","-","TSL:1, "
"ENST00000578630.1","ERBB2-208","874","No protein","-"," Retained intron","","-","-","TSL:2, "
"ENST00000584014.5","ERBB2-216","849","No protein","-"," Retained intron","","-","-","TSL:1, "
"ENST00000584684.1","ERBB2-220","649","No protein","-"," Retained intron","","-","-","TSL:3, "
"ENST00000583391.1","ERBB2-215","465","No protein","-"," Retained intron","","-","-","TSL:3, "
